id,budget,popularity,runtime,revenue,month,day,year
1,14000000,6.575393,93.0,16.326300330915824,2,20,2015
2,40000000,8.248895,113.0,18.370959224205944,8,6,2004
3,3300000,64.29999,105.0,16.38751199098573,10,10,2014
4,1200000,3.174936,122.0,16.588099342704055,3,9,2012
5,0,1.14807,118.0,15.18261470922214,2,5,2009
6,8000000,0.743274,83.0,14.997740387737252,8,6,1987
7,14000000,7.286477,92.0,18.263396044879872,8,30,2012
8,0,1.949044,84.0,14.765820807889137,1,15,2004
9,0,6.902423,100.0,17.351454194007484,2,16,1996
10,6000000,4.672036,91.0,16.74671748362726,4,16,2003
11,1000000,14.774066,119.0,18.57969228775781,11,21,1976
12,0,10.54375,98.0,16.935318648253194,7,10,1987
13,15000000,20.726578,122.0,19.691274093623488,9,15,1999
14,53000000,13.314233,118.0,18.371764800373036,3,4,2005
15,102000000,20.666063,145.0,19.69708469770741,6,20,2002
16,500000,1.018477,97.0,5.293304824724492,10,6,2010
17,26000000,6.336927,85.0,17.87408637811931,8,4,2005
18,0,4.183558,111.0,14.025978107156048,12,25,2013
19,8000000,6.496259,96.0,14.374816583642607,2,2,2011
20,32000000,11.359659,87.0,18.260132107446047,8,2,2005
21,80000000,12.000579,130.0,18.729336992463118,4,3,1998
22,4000000,7.99229,95.0,17.418016649695787,8,13,1982
23,0,7.820787,116.0,11.516379492941743,7,28,2012
24,0,1.323333,92.0,9.741674256373525,9,2,2011
25,0,7.434577,87.0,15.414437018146035,9,9,2006
26,0,1.252367,95.0,15.944150989797505,10,23,1992
27,10000000,4.305735,110.0,16.44272163989704,9,8,1997
28,11000000,10.841891,93.0,15.87564197854684,9,7,2013
29,6000000,6.759181,84.0,15.581892046457524,8,8,1986
30,45000000,7.81862,89.0,18.36871106297223,4,7,2002
31,13000000,16.086919,112.0,19.871078075121222,11,2,2011
32,0,5.69586,117.0,17.399029524198163,5,2,2005
33,90000000,13.412445,106.0,18.80551387574951,10,21,2015
34,0,8.254856,125.0,8.877939834725023,10,2,2014
35,140000000,9.718111,91.0,19.36855631746733,8,8,2007
36,30000000,8.234382,94.0,17.513007450073736,4,16,2012
37,0,2.100499,105.0,11.928736865132537,1,28,2000
38,50000000,13.676444,127.0,19.061795204185188,3,10,1995
39,0,0.32926,90.0,11.430641079947755,9,13,2013
40,3800000,3.055936,123.0,9.607370001263245,4,7,1965
41,0,2.941626,118.0,12.001511614739405,4,26,2006
42,3000000,9.718713,126.0,16.601618359255742,6,22,1967
43,25000000,2.971999,108.0,17.008566828481705,3,3,2000
44,6000000,9.383088,92.0,13.836216698538003,9,5,2014
45,15000000,5.615303,88.0,17.66937547592761,2,4,2005
46,3906840,2.382068,95.0,15.274125813221904,10,9,2009
47,80000000,16.646029,91.0,20.309174803787407,3,23,2006
48,44000000,20.328822,167.0,18.863827676603687,12,25,2015
49,0,8.984386,94.0,13.390789233250414,3,24,2017
50,38000000,8.105708,118.0,18.603002309079653,11,17,1994
51,560000,1.572904,102.0,14.220976332738882,1,30,2008
52,12000000,4.473327,160.0,17.047631635898284,7,1,1965
53,0,1.012665,97.0,16.213405921671733,6,24,1980
54,0,5.410839,98.0,16.67854275040142,1,15,1988
55,20000000,8.759801,107.0,17.64566318153949,2,19,2016
56,0,9.122718,95.0,17.411402659919723,7,2,1993
57,0,2.94798,97.0,13.870887552685641,8,5,2009
58,125000000,17.038824,125.0,19.28865111788086,6,20,1997
59,0,1.882446,95.0,11.691607071843588,6,24,2008
60,14000000,3.909079,95.0,17.05351945269176,3,8,2002
61,150000000,23.065078,144.0,20.21084888268541,11,14,2006
62,4000000,1.801071,105.0,16.48273883399067,5,30,1956
63,0,6.381612,124.0,17.043635081460696,1,16,1998
64,5000000,7.743144,100.0,16.454567959008102,7,28,1989
65,12000000,11.160699,115.0,16.686524659549985,9,21,2013
66,1500000,8.822276,92.0,16.28412859905434,2,26,1988
67,12000000,5.145185,108.0,12.230477411818724,1,14,2010
68,0,6.303552,133.0,11.945493287169603,10,4,2013
69,2000000,14.284787,129.0,16.390398593507353,12,25,1962
70,85000000,2.238808,104.0,18.88106508710607,6,3,2006
71,29000000,12.092096,103.0,16.866025765026475,3,4,2005
72,0,7.667491,126.0,16.63428922148404,2,6,2004
73,11000000,8.290384,85.0,15.927702889447257,4,5,1990
74,0,0.919556,90.0,9.76388059814971,3,30,2004
75,445000,2.482536,84.0,14.648420115681892,3,31,1976
76,17000000,9.665251,106.0,17.03127105523471,8,18,2011
77,500000,0.660663,157.0,13.122365377402328,5,5,2000
78,6000000,10.451986,98.0,17.500541240048012,7,25,1980
79,0,2.633399,122.0,17.388139891531882,12,18,1981
80,1500000,6.636625,102.0,13.566819685150076,9,15,2016
81,15000000,4.98408,118.0,16.038778704856128,12,14,2002
82,10284523,4.349046,104.0,16.26549841472407,10,21,2005
83,43000000,10.947957,104.0,18.337025391027108,7,29,2005
84,28000000,7.482865,116.0,17.51435662992746,12,6,1984
85,2000000,10.239941,85.0,16.388250489940827,1,21,2011
86,50000000,7.260574,109.0,18.839536476134583,6,9,1995
87,8000000,9.741644,105.0,18.48139948839795,12,18,1979
88,7500000,12.314278,91.0,17.293423518540404,1,30,1995
89,20000000,13.655178,126.0,16.392880612060882,3,31,2017
90,0,4.359884,109.0,18.757738473424897,2,5,1993
91,30000000,25.261865,111.0,19.013725787096668,10,10,2003
92,0,3.83196,106.0,12.279973453369708,3,16,2001
93,35000000,1.690768,135.0,16.52356082573315,9,20,1995
94,0,14.322814,96.0,14.817786306967594,5,15,2008
95,15000000,18.184056,147.0,16.817092687696285,5,16,2001
96,0,0.181963,72.0,9.571783927990017,12,9,2012
97,2500000,2.942355,98.0,8.119398589612294,11,14,2011
98,0,1.042112,158.0,11.19822841866684,6,26,2011
99,10500000,11.003515,90.0,16.951004817371683,8,31,2012
100,6000000,5.529808,120.0,17.6574558465306,4,15,1988
101,7000000,7.958502,91.0,16.03790481564776,1,26,1990
102,60000000,11.93646,135.0,19.563444971118127,12,11,2001
103,0,1.066558,102.0,16.52096205201705,8,18,2007
104,0,2.401289,121.0,15.485206907530323,9,28,2012
105,0,1.590383,117.0,18.82295072641198,2,20,2014
106,10900000,13.454169,105.0,16.61920185380939,9,8,2013
107,31000000,6.523155,105.0,16.532473852504896,1,21,2010
