id,budget,popularity,runtime,revenue,month,day,year
1,14000000,6.575393,93.0,12314651,2,20,2015
2,40000000,8.248895,113.0,95149435,8,6,2004
3,3300000,64.29999,105.0,13092000,10,10,2014
4,1200000,3.174936,122.0,16000000,3,9,2012
5,0,1.14807,118.0,3923970,2,5,2009
6,8000000,0.743274,83.0,3261638,8,6,1987
7,14000000,7.286477,92.0,85446075,8,30,2012
8,0,1.949044,84.0,2586511,1,15,2004
9,0,6.902423,100.0,34327391,2,16,1996
10,6000000,4.672036,91.0,18750246,4,16,2003
11,1000000,14.774066,119.0,117235147,11,21,1976
12,0,10.54375,98.0,22642033,7,10,1987
13,15000000,20.726578,122.0,356296601,9,15,1999
14,53000000,13.314233,118.0,95226116,3,4,2005
15,102000000,20.666063,145.0,358372926,6,20,2002
16,500000,1.018477,97.0,198,10,6,2010
17,26000000,6.336927,85.0,57891803,8,4,2005
18,0,4.183558,111.0,1234254,12,25,2013
19,8000000,6.496259,96.0,1749457,2,2,2011
20,32000000,11.359659,87.0,85167639,8,2,2005
21,80000000,12.000579,130.0,136159423,4,3,1998
22,4000000,7.99229,95.0,36690067,8,13,1982
23,0,7.820787,116.0,100345,7,28,2012
24,0,1.323333,92.0,17011,9,2,2011
25,0,7.434577,87.0,4947717,9,9,2006
26,0,1.252367,95.0,8403433,10,23,1992
27,10000000,4.305735,110.0,13835130,9,8,1997
28,11000000,10.841891,93.0,7847000,9,7,2013
29,6000000,6.759181,84.0,5849647,8,8,1986
30,45000000,7.81862,89.0,94935764,4,7,2002
31,13000000,16.086919,112.0,426480871,11,2,2011
32,0,5.69586,117.0,36000000,5,2,2005
33,90000000,13.412445,106.0,146936910,10,21,2015
34,0,8.254856,125.0,7171,10,2,2014
35,140000000,9.718111,91.0,258022233,8,8,2007
36,30000000,8.234382,94.0,40346186,4,16,2012
37,0,2.100499,105.0,151559,1,28,2000
38,50000000,13.676444,127.0,189859560,3,10,1995
39,0,0.32926,90.0,92100,9,13,2013
40,3800000,3.055936,123.0,14873,4,7,1965
41,0,2.941626,118.0,163000,4,26,2006
42,3000000,9.718713,126.0,16217773,6,22,1967
43,25000000,2.971999,108.0,24362772,3,3,2000
44,6000000,9.383088,92.0,1020921,9,5,2014
45,15000000,5.615303,88.0,47175038,2,4,2005
46,3906840,2.382068,95.0,4300000,10,9,2009
47,80000000,16.646029,91.0,660940780,3,23,2006
48,44000000,20.328822,167.0,155760117,12,25,2015
49,0,8.984386,94.0,653951,3,24,2017
50,38000000,8.105708,118.0,120000000,11,17,1994
51,560000,1.572904,102.0,1500000,1,30,2008
52,12000000,4.473327,160.0,25333333,7,1,1965
53,0,1.012665,97.0,11000000,6,24,1980
54,0,5.410839,98.0,17514553,1,15,1988
55,20000000,8.759801,107.0,46069568,2,19,2016
56,0,9.122718,95.0,36448200,7,2,1993
57,0,2.94798,97.0,1056938,8,5,2009
58,125000000,17.038824,125.0,238207122,6,20,1997
59,0,1.882446,95.0,119563,6,24,2008
60,14000000,3.909079,95.0,25482931,3,8,2002
61,150000000,23.065078,144.0,599045960,11,14,2006
62,4000000,1.801071,105.0,14400000,5,30,1956
63,0,6.381612,124.0,25232289,1,16,1998
64,5000000,7.743144,100.0,14000000,7,28,1989
65,12000000,11.160699,115.0,17654912,9,21,2013
66,1500000,8.822276,92.0,11806119,2,26,1988
67,12000000,5.145185,108.0,204940,1,14,2010
68,0,6.303552,133.0,154120,10,4,2013
69,2000000,14.284787,129.0,13129846,12,25,1962
70,85000000,2.238808,104.0,158468292,6,3,2006
71,29000000,12.092096,103.0,21126225,3,4,2005
72,0,7.667491,126.0,16756372,2,6,2004
73,11000000,8.290384,85.0,8266343,4,5,1990
