id,revenue
3001,8793730.02060844
3002,8793730.02060844
3003,28701939.991735537
3004,28701939.991735537
3005,8793730.02060844
3006,28701939.991735537
3007,8793730.02060844
3008,94469491.39304812
3009,28701939.991735537
3010,161219432.80612245
3011,8793730.02060844
3012,8793730.02060844
3013,74464393.7165109
3014,8793730.02060844
3015,28701939.991735537
3016,8793730.02060844
3017,94469491.39304812
3018,174328743.95
3019,8793730.02060844
3020,774468902.75
3021,94469491.39304812
3022,74464393.7165109
3023,8793730.02060844
3024,28701939.991735537
3025,8793730.02060844
3026,94469491.39304812
3027,8793730.02060844
3028,94469491.39304812
3029,8793730.02060844
3030,94469491.39304812
3031,24880852.43548387
3032,8793730.02060844
3033,8793730.02060844
3034,8793730.02060844
3035,28701939.991735537
3036,74464393.7165109
3037,74464393.7165109
3038,74464393.7165109
3039,28701939.991735537
3040,8793730.02060844
3041,28701939.991735537
3042,8793730.02060844
3043,8793730.02060844
3044,8793730.02060844
3045,416871204.15789473
3046,8793730.02060844
3047,24880852.43548387
3048,28701939.991735537
3049,28701939.991735537
3050,24880852.43548387
3051,8793730.02060844
3052,28701939.991735537
3053,8793730.02060844
3054,8793730.02060844
3055,94469491.39304812
3056,8793730.02060844
3057,94469491.39304812
3058,392002334.20689654
3059,8793730.02060844
3060,94469491.39304812
3061,74464393.7165109
3062,24880852.43548387
3063,74464393.7165109
3064,161219432.80612245
3065,28701939.991735537
3066,94469491.39304812
3067,28701939.991735537
3068,74464393.7165109
3069,174328743.95
3070,8793730.02060844
3071,24880852.43548387
3072,693914473.2857143
3073,8793730.02060844
3074,8793730.02060844
3075,74464393.7165109
3076,161219432.80612245
3077,74464393.7165109
3078,94469491.39304812
3079,28701939.991735537
3080,94469491.39304812
3081,24880852.43548387
3082,28701939.991735537
3083,8793730.02060844
3084,8793730.02060844
3085,28701939.991735537
3086,94469491.39304812
3087,8793730.02060844
3088,8793730.02060844
3089,8793730.02060844
3090,28701939.991735537
3091,8793730.02060844
3092,28701939.991735537
3093,161219432.80612245
3094,94469491.39304812
3095,28701939.991735537
3096,8793730.02060844
3097,774468902.75
3098,28701939.991735537
3099,94469491.39304812
3100,24880852.43548387
3101,24880852.43548387
3102,28701939.991735537
3103,8793730.02060844
3104,8793730.02060844
3105,161219432.80612245
3106,161219432.80612245
3107,28701939.991735537
3108,28701939.991735537
3109,28701939.991735537
3110,416871204.15789473
3111,8793730.02060844
3112,8793730.02060844
3113,28701939.991735537
3114,74464393.7165109
